embed_size,hidden_size,learning_rate,weight_decay,seed,regularization,embed_config,is_collapsed_hidden,is_tied_hidden,is_collapsed_out,is_symmetric_input,slug,maxRatio,minTrainLoss,minEvalLoss
256,256,0.001,0.03,0,l2,untied,true,false,false,false,001499319176227254,7446631411346.648,4.342945070208552e-8,42402.58510705356
64,64,0.01,1,7,l2,input_tied,false,false,false,false,0015572153312140014,6338.906652173829,3.5384290495586514e-7,0.0000016529032522773262
64,64,0.01,1,2,l2,input_tied,true,false,false,false,001573574084422713,98199.02262508713,0.000002069165180271974,0.004361673130406212
64,64,0.001,0.03,0,l2,tied,true,false,true,true,0015859548413644786,5.179244984756468,4887.637443774589,20805.834058626744
512,512,0.0001,0.3,5,l2,untied,true,false,true,false,001612252813896431,53897965576.302505,0.0000030329700738347164,27742.549573032913
128,128,0.0001,0.03,7,l2,tied,false,true,false,false,001634962613718205,18475861272428.918,8.527879513650214e-9,38270.75467642066
256,256,0.0001,0.01,2,l2,tied,false,true,false,false,001678152138980482,52813984763966.75,3.5728575653572864e-9,42486.08322137901
256,256,0.0001,0.3,7,l2,tied,true,true,false,false,0017146162939263299,711103870095.476,1.6734952600942756e-7,0.00013732235234066857
512,512,0.01,0.03,7,l2,untied,true,true,true,false,001769176634041969,624366410835.4889,1.5900855920501684e-7,0.002943358465836523
256,256,0.0001,1,5,l2,input_tied,false,false,false,false,001795901053463389,396768891875.97406,2.6921972428023617e-7,0.000001064871891897804
64,64,0.001,0.3,3,l2,tied,true,false,true,false,0018104069293045644,2.92259379903246,7846.935892735745,22930.84941487937
32,32,0.001,0.01,0,l2,tied,false,false,true,true,0018652063652118134,26113850269.26293,7.200881668704967e-9,0.000008888298300190556
64,64,0.0001,0.03,8,l2,untied,true,false,true,true,0018705953047125634,1040251437759.0479,9.926700822016632e-7,42313.09740728616
32,32,0.0001,0.03,3,l2,untied,true,false,false,true,00193294159347146,31162080009349.02,6.442434115300689e-7,42408.38881033002
128,128,0.0001,0.03,7,l2,untied,false,false,true,true,002010344526959029,8970168619420.611,7.534929391458102e-8,42302.672803092304
128,128,0.0001,1,2,l2,tied,true,false,true,true,002026060629727766,2.725375582860631,9333.108173474557,25435.971452396618
256,256,0.01,0.01,1,l2,untied,true,true,true,false,002035806707376242,2506640264685.587,6.656334905422371e-8,457.64216340210965
128,128,0.0001,1,6,l2,untied,true,true,true,false,002046020186452613,306568.4822828223,0.3609033331977972,42321.926161021096
512,512,0.001,0.3,7,l2,tied,true,true,true,true,0020798892923746815,3.7164392858636677,4973.03998039466,18474.141448280734
64,64,0.01,0.1,4,l2,input_tied,true,false,true,false,002111649884413036,20945909624.83517,8.520343098483131e-7,117.38371340511529
32,32,0.0001,0.01,6,l2,untied,false,false,true,false,0021232236601858023,2107.2557230963125,1859.5091712181454,42308.426048505484
512,512,0.01,1,3,l2,untied,true,true,true,false,0021402528578209346,253599.98893978837,0.000009712273102494891,0.03967993477730071
128,128,0.001,0.01,5,l2,untied,true,true,false,true,002164445659230685,31334074873598.43,1.841713470613533e-8,42373.73937148897
32,32,0.0001,0.3,3,l2,tied,true,false,true,true,0022318532257479262,2.7529290715062635,10115.814412467724,27848.064180287773
64,64,0.01,1,0,l2,tied,true,false,true,true,0022769601153461716,2.68428040194291,10566.210119262454,28349.18450581319
32,32,0.0001,0.01,7,l2,untied,false,true,true,true,0023821775539198953,14437.869381257004,313.2432688056919,42308.83696154586
32,32,0.001,0.01,3,l2,input_tied,true,false,true,false,0023879036928730057,293912752689.0101,1.8716768911584508e-7,18078.31110202724
256,256,0.01,1,7,l2,untied,true,true,false,true,002442714244505151,1764207.8106223284,0.0000010056735709297288,0.00010321154279340088
32,32,0.01,0.03,3,l2,input_tied,true,true,true,true,0024966918173363606,94133994635.55728,3.7116334824415647e-7,63.508288885511135
64,64,0.0001,0.03,3,l2,tied,true,true,true,false,002503409999678907,4.161212638580675,5457.378089323322,21600.739073530858
128,128,0.0001,0.03,4,l2,input_tied,true,true,true,true,002545340071910873,600527116066.0541,2.687856106455904e-7,42330.79550776961
128,128,0.0001,0.1,3,l2,input_tied,false,true,true,false,0025538448536486236,1514300738304.4246,1.0253558779625217e-7,5580.01691286206
64,64,0.0001,1,0,l2,tied,true,false,true,false,0025730665747957238,2.665100901829009,10684.267093698965,28471.143974067454
32,32,0.01,1,0,l2,tied,true,true,true,false,0026186382011109677,2.661041601689509,12230.203865420248,32526.684025459574
32,32,0.001,1,1,l2,input_tied,false,true,false,false,002627706941400909,131829357.4787463,0.0000011256666082138145,60.78596983906212
128,128,0.01,0.01,6,l2,input_tied,true,true,false,false,0026408309445961065,18387135488752.3,6.4488880901959355e-9,0.000010986682604949249
32,32,0.0001,0.03,4,l2,input_tied,true,false,true,true,0026753455870888176,123858307023.92728,9.966731728017245e-7,42324.64234119558
32,32,0.0001,1,6,l2,untied,true,true,false,false,0027276501620704385,51544.11013849251,0.01778658057900162,891.5698238649777
64,64,0.001,0.1,5,l2,untied,true,true,true,true,0027420770393252747,200765414999.94885,0.000003617121659132062,42317.295909913715
32,32,0.001,1,4,l2,tied,true,true,false,true,0027422995785518767,58.51080312987962,3.0276352172791876,160.62946623063058
256,256,0.0001,0.3,5,l2,tied,false,true,false,true,0027547105341858558,1330345080886.4524,4.9420705305269316e-8,7.465803169629921e-7
256,256,0.01,0.03,4,l2,tied,false,false,true,true,002801286930868341,10555559340162.543,1.3598195014424193e-8,1.680959831245204e-7
