embed_size,hidden_size,learning_rate,weight_decay,seed,regularization,embed_config,is_collapsed_hidden,is_tied_hidden,is_collapsed_out,is_symmetric_input,slug,maxRatio,minTrainLoss,minEvalLoss
32,32,0.0001,1e-11,5,l1,input_tied,false,false,true,false,0035918455919382586,55993444.10553255,8.430716746987456e-9,0.0418831189890623
256,256,0.001,1e-7,8,l1,tied,true,true,false,false,003688085711743838,581.362215085427,0.000005432730884320118,0.000009603945752292718
256,256,0.01,1e-8,6,l1,tied,true,true,true,false,004106406992445355,3.11898710574031,0.010071256312417677,0.01739819547279668
256,256,0.001,1e-10,6,l1,tied,false,false,true,false,004148127695127735,5856145.137322379,3.2863732067217884e-8,0.042169465422573674
32,32,0.01,1e-8,8,l1,input_tied,false,true,false,false,0042435494784650585,10625.48310962372,2.4227992346509166e-7,0.000007643689643239408
256,256,0.001,1e-8,5,l1,input_tied,true,false,false,false,004564872662020547,9775.270196207906,6.730897868104241e-7,0.000008197500472529363
64,64,0.0001,1e-7,2,l1,tied,false,true,false,false,004567961293496792,774.0210218703826,0.0000024023846120256216,0.000008766783868810805
32,32,0.001,1e-11,7,l1,tied,true,true,false,false,004941865715779925,11672240.31310714,6.655688580007812e-10,0.006772269210894548
512,512,0.01,1e-11,3,l1,input_tied,true,false,false,false,005018375997819402,24675370.249291353,1.4966851365417216e-9,0.0003173582857953039
64,64,0.01,1e-11,7,l1,tied,true,true,false,false,005250487636080381,76914520.37528302,7.133818900583393e-10,0.0000792048234334179
64,64,0.0001,1e-9,8,l1,tied,false,true,true,false,005265816942842783,680564.1261781123,1.266448650217153e-7,0.01829282534705299
64,64,0.01,1e-10,3,l1,tied,false,true,false,false,005318937906530152,7134709.296115801,1.5281054561503526e-9,1.4286576296512905e-7
256,256,0.01,1e-8,7,l1,tied,false,false,true,false,005485031151337361,37365.67623032678,7.406188147516777e-7,0.000020407942758119306
128,128,0.001,1e-8,4,l1,tied,true,false,false,false,005599308952191628,32872.252027654766,4.4466785993543607e-7,6.998967218143487e-7
