embed_size,hidden_size,learning_rate,weight_decay,seed,regularization,embed_config,is_collapsed_hidden,is_tied_hidden,is_collapsed_out,is_symmetric_input,slug,maxRatio,minTrainLoss,minEvalLoss
128,128,0.01,0.3,1,l2,input_tied,true,true,true,false,00026019040213287603,2535.850826423794,0.0000018474330516255853,0.0003367687944436531
256,256,0.01,0.03,5,l2,input_tied,false,true,true,false,0002724413970274231,2524791.4783671927,2.337650103795928e-8,1.3740372442130618e-7
256,256,0.0001,0.03,3,l2,tied,true,false,false,false,0002955828929327442,3972898.473457042,4.2334431234192654e-8,0.04213278197488281
512,512,0.0001,0.03,1,l2,input_tied,true,false,true,false,0002997439029677196,318189.4512188852,2.0192669624276225e-7,0.039057279280115695
32,32,0.01,0.1,8,l2,input_tied,false,true,true,false,00039241249568189307,38667.04508342884,1.1087154698137701e-7,7.822368552552763e-7
64,64,0.0001,0.1,8,l2,tied,true,true,true,false,0006043110829921927,1.434488833300791,0.014164632824597269,0.020314420764283244
256,256,0.01,0.3,6,l2,input_tied,false,false,false,false,0006133160133238169,476532.4457496618,8.427570680127987e-8,9.583781114420885e-8
512,512,0.01,0.03,2,l2,input_tied,false,true,true,false,0006162826952904599,2777111.757328404,2.3752713258944264e-8,3.2752310830821227e-7
256,256,0.01,1,4,l2,input_tied,true,true,false,false,0007301724382766661,6.744704011023511,0.0000010263940770699307,0.0000067720580691374685
32,32,0.0001,0.3,7,l2,tied,false,true,true,false,0008053968368217923,806.1028051740614,3.6681956088744943e-7,7.687893855948281e-7
128,128,0.001,0.1,0,l2,input_tied,false,true,false,false,000806787538767173,1938157.472702655,2.8653344792412295e-8,6.468623502992217e-8
256,256,0.01,0.1,0,l2,input_tied,false,true,true,false,0011278586222638332,302211.2391798724,8.15921825378179e-8,6.455513176491791e-7
64,64,0.01,0.01,4,l2,tied,true,true,true,false,00117291659741936,2.57350863611913,0.010887711988367823,0.02088740302946461
128,128,0.0001,0.01,7,l2,input_tied,false,true,true,false,001233398264882446,9406706.693509834,1.807214787156233e-8,0.041881044023554956
32,32,0.0001,0.01,4,l2,tied,true,false,true,false,001302576598139371,1.3598614661680957,0.019466494628214297,0.02567757875849978
128,128,0.01,0.1,3,l2,tied,false,false,true,false,0013315683769643538,1389681.2397526763,5.7668131313109285e-8,1.7573162389595062e-7
256,256,0.01,0.1,1,l2,input_tied,false,false,false,false,0014958861724336803,2091932.6842631842,2.6398181889131313e-8,3.22402904109324e-8
