embed_size,hidden_size,learning_rate,weight_decay,seed,regularization,embed_config,is_collapsed_hidden,is_tied_hidden,is_collapsed_out,is_symmetric_input,slug,maxRatio,minTrainLoss,minEvalLoss
64,64,0.01,0.3,6,l2,input_tied,false,true,false,false,0001045541925932536,3536.1949461210547,7.520585065677471e-8,0.000001779892453078528
32,32,0.001,0.03,3,l2,tied,false,true,true,false,00012033279657841511,31155029.70107389,2.0287639790221237e-8,0.000001585726516522671
32,32,0.0001,0.03,1,l2,tied,true,false,false,false,00012323460637886363,27713445854.292892,2.0447868509364417e-8,11.98144455990245
32,32,0.001,0.01,3,l2,untied,true,true,false,false,00015070310173181944,64188563.52121863,0.16838095429563613,42375.75004652866
64,64,0.001,1,2,l2,tied,true,true,false,true,00015850678611817326,3485976280.9722667,0.0000470303032488334,21345.33298220394
256,256,0.01,1,2,l2,tied,true,true,false,false,00017845175920250256,2215.9568674021566,5.908934605416362e-7,0.0000361107539078088
128,128,0.0001,0.03,0,l2,input_tied,true,true,false,false,00019745900058643073,7227202328783.799,4.342773052248138e-8,42353.95030051841
32,32,0.01,0.03,4,l2,input_tied,true,true,true,true,0002419519187211172,551985468760.7047,0.0000022164589672666936,21366.231346728524
512,512,0.0001,0.01,2,l2,input_tied,true,false,false,false,0002661391235646571,16884776717725.105,1.3788661323815488e-8,42364.827390763516
256,256,0.01,0.01,6,l2,input_tied,false,false,true,false,00026649498915687353,25705482812277.113,7.221154563188731e-9,2.464180736627965e-7
64,64,0.01,1,3,l2,tied,false,false,false,true,0003056878383909112,126859087741.35753,2.5980907600626633e-7,0.000009024365324902184
32,32,0.001,0.1,6,l2,untied,true,false,false,false,0003390479597813467,1146.910869171057,1438.711563199735,42368.0272351033
128,128,0.001,0.3,0,l2,untied,false,true,false,true,00034717107219928156,1162300445291.1604,1.2283747640846333e-7,21366.272108556666
256,256,0.01,0.03,6,l2,untied,true,false,false,true,00037760629781724564,4147203372064.0454,2.628443751521103e-8,21689.24092544355
256,256,0.0001,1,0,l2,untied,false,true,true,true,00040037283523486344,78072606098.7168,0.0000018217110255848338,21347.60935215462
128,128,0.0001,0.1,0,l2,tied,true,true,false,true,0004177859688307972,2688853602455.021,1.0457602072884826e-7,21389.871746080025
128,128,0.01,1,7,l2,tied,false,true,true,false,0004220425987121468,421.450872423807,9.195753858984428e-7,0.000013438541606145829
32,32,0.001,1,7,l2,tied,false,true,false,false,0004331307792362349,17092027.90195501,9.256355727986371e-7,2.2447523554714657
64,64,0.01,0.01,5,l2,untied,false,true,true,true,0004401121374607575,21924501336932.875,1.1782606446037062e-8,21367.313282974534
64,64,0.001,0.01,8,l2,input_tied,false,false,true,false,0004656166575854881,48480138599923.37,3.351313782023261e-8,42318.41002777457
128,128,0.001,1,8,l2,untied,false,false,true,true,0004816108013742104,49319788813.66449,0.0000024777470967265016,21346.89561410754
64,64,0.001,0.1,5,l2,input_tied,true,false,false,false,0005183884028785446,1079614377819.1107,7.894662501358738e-8,0.00012562604174181727
256,256,0.0001,0.03,0,l2,input_tied,true,true,false,true,000541455261216961,5711345106122.481,3.6288756665923185e-8,21384.24014583644
64,64,0.01,0.03,5,l2,input_tied,false,false,false,true,0005455063462210807,19251407435675.9,1.1710284963899092e-8,21412.003534751006
32,32,0.001,0.01,7,l2,tied,false,false,false,true,0005646777936605396,87365074088919.38,5.020089011144824e-9,18945.382476841725
64,64,0.0001,0.1,4,l2,untied,true,true,true,true,0005701642418137753,164851678521.5242,0.0000013348879998592087,21347.05186628681
32,32,0.01,0.03,2,l2,untied,false,false,true,true,00065223734294928,6936852357406.733,5.46583041040958e-8,21353.895222537474
128,128,0.001,0.01,6,l2,input_tied,false,false,true,true,0007057173234253922,16804690419387.81,1.2821566031062149e-8,21338.224556043173
128,128,0.001,0.1,7,l2,input_tied,false,false,false,false,0007442554443342075,7869816833322.793,2.201338289421796e-8,2.108112290727687e-7
256,256,0.01,1,6,l2,untied,false,false,false,false,0007535378668764858,914162.011074449,3.0933053406276933e-7,0.0000010018095201655523
128,128,0.01,0.01,8,l2,untied,true,true,true,true,0007679589022189237,1885897994652.3425,7.047474426124587e-8,21386.231654563657
256,256,0.01,0.1,2,l2,input_tied,true,false,true,true,0008176445188583514,110534293577.18492,4.0255091189264534e-7,12.807646209045252
128,128,0.001,0.3,3,l2,tied,false,false,false,true,0008536592252662567,1317556061950.548,4.994856417279929e-8,4.120169094863883e-7
128,128,0.01,0.03,7,l2,untied,false,false,false,false,0008929190451332225,25352831335869.727,8.335143464310666e-9,5.241409617389904e-8
32,32,0.001,0.1,1,l2,input_tied,true,true,false,true,0008938433250333944,2854436978546.8896,1.9393373261547127e-7,21380.285978560678
128,128,0.0001,0.03,6,l2,untied,true,true,true,false,0009097616628594984,998256653414.8076,5.255467323158287e-7,42323.0480272019
128,128,0.0001,0.1,1,l2,tied,false,false,true,false,0009261198109302704,4176671196842.0664,1.7517386785134606e-7,42395.786883549634
32,32,0.001,0.03,2,l2,untied,true,false,false,false,0009414461556541687,98881.67854048655,51.2574213657206,42382.38021020799
256,256,0.0001,0.03,2,l2,input_tied,false,false,false,false,0009452811060324251,23186754863732.996,1.9715295840274167e-8,42371.76584575404
512,512,0.0001,0.03,6,l2,tied,false,false,false,true,0009943266878807977,11841310550091.85,1.1058673532427823e-8,21514.42265711065
32,32,0.001,0.03,1,l2,untied,false,true,false,true,0009982893792788161,34789572932139.03,1.3210485594273409e-8,21364.00828583991
32,32,0.0001,0.3,4,l2,input_tied,true,false,true,false,0010034417763877812,427088.37204069505,0.011372863289189534,4857.217667621342
512,512,0.0001,0.03,4,l2,untied,false,false,true,false,0010396230355866898,6080590554949.219,5.69101465948212e-8,42316.98045939786
512,512,0.01,0.1,1,l2,tied,false,true,false,false,0010731183832605184,200722285.45632282,1.4748829935084023e-8,9.167592795741826e-8
128,128,0.0001,0.3,6,l2,tied,true,true,true,false,0011381356580185686,3.191543317324208,6385.00537846931,20377.94995792825
256,256,0.0001,1,3,l2,tied,true,false,false,false,0011739477455361413,107694447340.9972,6.628724821593675e-7,0.00016449320380348582
