n,k,train_size,hidden_size,weight_decay,w_init_scale,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,1500,32,0.03,1,0,01635581167266975,88570.93475402179,1.1920930376163597e-7,1.2192728604532022e-7
30,3,1000,32,0.01,10,1,016756108536560288,14756593.629219396,1.1920930376163597e-7,0.40295037627220154
30,3,1750,32,0.03,0.1,5,018078108551234595,20608.832494295864,1.1920928955078125e-7,1.1973382640917407e-7
30,3,750,32,1,1,4,019374999115251645,6.120442156589344,0.15306538343429565,0.7125741839408875
30,3,750,32,0.01,1,5,020009990923973264,43902422.766423374,1.1920930376163597e-7,0.6992765665054321
30,3,1250,32,0.01,1,0,02021162469798221,9164813.907469045,1.1920930376163597e-7,0.24655228853225708
30,3,750,32,0.03,3,3,0205324128051646,50486601.981528044,1.1920930376163597e-7,0.27990853786468506
30,3,1500,32,0.3,10,8,020576073777746395,10594.77575637465,1.1920930376163597e-7,1.659751092120132e-7
30,3,1250,32,0.1,3,8,02194686744841068,3308777.858532581,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1500,32,0.1,3,2,022459341077946893,45660.61304152619,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1750,32,0.01,10,3,02335588297315927,92770.7421875,1.1920928955078125e-7,0.00005195270205149427
30,3,1000,32,0.3,10,5,02382762340064215,3742618.430209723,1.1920930376163597e-7,2.838731347765133e-7
30,3,1750,32,0.03,10,4,024528507544594125,36679.366083741756,1.1920928955078125e-7,1.1944773348204762e-7
30,3,1250,32,0.03,10,7,025598999863747585,1818857.5272565885,1.1920930376163597e-7,1.9295271158625837e-7
30,3,1500,32,0.3,1,0,025920176214236146,4643.771538889741,1.1920930376163597e-7,1.5760662108732504e-7
30,3,1250,32,0.03,1,5,026313005052824967,2112959.712029,1.1920930376163597e-7,1.56092667680241e-7
30,3,1250,32,0.01,0.1,4,026341077911086752,3095991.880929007,1.1920930376163597e-7,0.034919388592243195
30,3,1500,32,0.03,10,7,027864515687104352,175854.8806165356,1.1920930376163597e-7,1.2251140901753388e-7
30,3,1500,32,0.01,0.1,0,028223129906557287,491342.6843156609,1.1920930376163597e-7,0.004047543276101351
30,3,1000,32,0.03,3,8,028664721664566906,22708391.29294881,1.1920930376163597e-7,0.000032294101401930675
30,3,1250,32,0.1,0.1,1,029135561822293377,37665535.50991827,1.1920930376163597e-7,1.1920930376163597e-7
30,3,750,32,0.1,10,1,029615204807782902,39348007.309352,1.1920930376163597e-7,1.4319421381969732e-7
30,3,1250,32,1,3,2,029960813561572208,3.049849209887899,0.10377421975135803,0.2891251742839813
30,3,1250,32,0.1,0.1,8,030879577128790747,5445789.322802624,1.1920930376163597e-7,1.1920930376163597e-7
30,3,750,32,1,1,0,03102567703857817,9.840656974253577,0.11593543738126755,0.7072653770446777
30,3,1750,32,0.1,0.3,6,03116654172161215,20524.239533594777,1.1920928955078125e-7,1.1920930376163597e-7
30,3,1000,32,0.1,0.3,2,03119756412156549,17386289.92739273,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1250,32,1,1,1,03158577203044455,3.4104442618489643,0.09302779287099838,0.25397732853889465
30,3,1500,32,0.03,0.1,5,03296216789589301,107470.34656353634,1.1920930376163597e-7,1.20377563916918e-7
30,3,1500,32,1,10,8,033354237194448855,2.4836278810957855,0.05001997947692871,0.06728091835975647
30,3,1000,32,0.03,1,7,034539997116503574,25267792.015064433,1.1920930376163597e-7,0.00008953976794146001
30,3,1000,32,0.3,3,0,03548594615742462,18716048.691368267,1.1920930376163597e-7,0.00006470250082202256
30,3,1750,32,0.03,10,4,0362796786294215,472844.04193615017,1.1920928955078125e-7,1.2407305405304214e-7
30,3,1750,32,1,0.3,2,03746363416185128,2.361733448403403,0.05461043491959572,0.06692280620336533
