n,k,train_size,hidden_size,weight_decay,w_init_scale,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,500,8,0.1,1,1,024148870727654592,19.586744841583418,0.17927540838718414,0.7005297541618347
30,3,2000,16,0.00001,1,4,025285972390223344,76815.85803033614,1.1920930376163597e-7,0.0004892294527962804
30,3,1000,32,0.1,1,0,02551821634982443,31805120.208534215,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1000,8,0.00001,1,8,02553337363533037,1.6839240172236236,0.6335130929946899,0.6940615177154541
30,3,1500,128,1,1,2,027254429868953656,703962.3876490702,1.193682521716255e-7,8.397034889640054e-7
30,3,1000,128,1,1,5,02870513671203012,14874321.042265084,1.2147428662956372e-7,0.16052024066448212
30,3,1500,64,1,1,8,028708507672792316,8.86745168646483,0.003949065692722797,0.007883213460445404
30,3,250,64,0.1,1,4,02875687223309409,59324764.92793692,1.1920930376163597e-7,0.7077010273933411
30,3,250,32,0.001,1,1,029382048123823723,61714364.64307444,1.1920930376163597e-7,0.7007288932800293
30,3,2000,128,0.001,1,8,02984629399364913,1319373.5927184115,1.1920930376163597e-7,0.039803776890039444
30,3,1500,64,0.001,1,8,031517418174886624,7888092.059666149,1.1920930376163597e-7,0.39486101269721985
30,3,250,16,0.001,1,1,03341301735506419,63019564.48748249,1.1920930376163597e-7,0.7029567956924438
30,3,2000,32,0.001,1,4,033426669676612564,23280.802157657916,1.1920930376163597e-7,0.00007307789201149717
30,3,1500,64,0.00001,1,5,03409032329086337,8317052.217457716,1.1920930376163597e-7,0.4551504850387573
30,3,250,64,1,1,2,03613400462457239,39720959.26489267,1.1920930376163597e-7,0.7011538743972778
30,3,1500,8,0.0001,1,6,037449390577266484,75.43562943510658,1.1920930376163597e-7,4.5982258711774193e-7
30,3,250,128,0.001,1,5,037543970396794024,63310632.452784486,1.1920930376163597e-7,0.7030996680259705
30,3,2000,128,1,1,1,03781648513817315,90872.09108110736,1.1950733380672318e-7,1.899362302992813e-7
30,3,2000,128,0.001,1,1,038547631837530516,3187782.3699867283,1.1920930376163597e-7,0.11434870213270187
30,3,1000,128,1,1,6,04062118912144097,19260371.856966965,1.2052061038048123e-7,0.08934541046619415
30,3,500,64,0.1,1,7,04158540784353881,50205122.015083075,1.1920930376163597e-7,0.05758952349424362
30,3,1500,32,1,1,4,041947891915943725,1.9533587903079253,0.0738474652171135,0.0880860984325409
30,3,1000,8,0.01,1,8,0426141149769399,1.1814013858819343,0.34726682305336,0.3431079387664795
30,3,1000,16,0.001,1,5,04477548630651895,121703.35310632424,1.1920930376163597e-7,0.010608445852994919
30,3,250,8,0.001,1,5,04555689841929744,60775536.75499144,1.1920930376163597e-7,0.6985198855400085
30,3,250,32,0.01,1,8,04591448147921273,62374352.564397745,1.1920930376163597e-7,0.6993215680122375
30,3,2000,16,1,1,2,04755536242596137,1.3105238587706878,0.2231452912092209,0.2306678593158722
30,3,1500,16,1,1,1,04818935138474789,1.664773089542942,0.21499212086200714,0.24626152217388153
30,3,250,8,0.001,1,3,04981672786190949,2684.3661622506193,0.0027727074921131134,0.7030053734779358
30,3,1000,128,0.00001,1,4,049825623442347644,34718431.8612404,1.1920930376163597e-7,0.7105910778045654
30,3,250,64,0.0001,1,1,05094060080141016,59927444.85609187,1.1920930376163597e-7,0.7022808790206909
30,3,500,8,1,1,1,05159843385249985,1.9998702479199748,0.41314584016799927,0.6979740858078003
30,3,1500,32,0.1,1,8,052150740727509026,100174.75459831324,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1000,128,0.1,1,3,054686925201701486,37649207.51186472,1.1920930376163597e-7,1.1920930376163597e-7
30,3,250,128,0.001,1,8,05555631911919856,63854856.38790794,1.1920930376163597e-7,0.7030471563339233
30,3,1000,64,1,1,8,056042983011817094,40.30778922075769,0.010046189650893211,0.37349942326545715
30,3,2000,16,0.0001,1,1,057404178194325195,10718.644230050537,1.1920930376163597e-7,0.000002843986521838815
30,3,250,8,1,1,7,05743170403388109,5.1216732915457435,0.21068939566612244,0.7001292109489441
