train_size,hidden_size,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
1750,20,0.3,1,020730331867200413,2.9276980527845664,1.1920928955078125e-7,1.2917520564315055e-7
2000,20,1,1,020907934009052775,1.4501669757247042,0.12054058909416199,0.12583597004413605
1250,4,0.3,7,02289124088278649,1.1528647590562273,0.26216375827789307,0.27355313301086426
1750,20,1,5,024034392319925213,1.4868682413326313,0.14803747832775116,0.1793428361415863
1000,8,1,1,02461502765747925,1.6882892711074082,0.4661763608455658,0.6991836428642273
1750,12,1,8,026968466462516383,1.2470067998588135,0.26201990246772766,0.26450565457344055
2000,4,0.1,3,027398799160221254,1.1357221920721796,0.09219209104776382,0.0859561413526535
2000,16,1,0,02754483027246346,1.3949994274799926,0.18628709018230438,0.19818100333213806
1000,20,0.1,6,029526754252350407,3361133.3932728707,1.1920930376163597e-7,1.193761960394113e-7
1750,16,0.03,1,03166950996182549,8048.03076171875,1.1920928955078125e-7,1.2019874873203662e-7
1250,20,0.03,7,03263108630497058,46231.13338427095,1.1920930376163597e-7,1.2353660849839798e-7
1500,16,0.1,2,03276791965735659,5.832276987106554,1.1920930376163597e-7,1.1920930376163597e-7
1500,20,0.03,5,03289862601904747,33543.378813817646,1.1920930376163597e-7,1.199007186869494e-7
1500,8,0.1,3,03359372081861289,1.9123531267617422,1.1920930376163597e-7,1.2161733309312694e-7
1500,4,0.3,0,034556794716906425,1.1503180182266266,0.15520168840885162,0.1530892550945282
1000,8,0.01,0,0354661390508787,1.6699398482101462,0.16496914625167847,0.18404512107372284
1250,8,0.3,3,03596746237877069,1.271582821571175,0.0002251310070278123,0.0002521001151762903
1000,8,0.03,0,0362508443280557,1.3005456217707365,0.18507041037082672,0.17702990770339966
2000,4,0.01,5,03712991231832463,1.1354610788256887,0.17398007214069366,0.17148473858833313
1750,4,1,4,03751592684691507,1.1080461645211024,0.516689121723175,0.5220478177070618
1750,8,0.01,8,03752928557689772,1.2359936556205344,0.2574547529220581,0.26464372873306274
