n,k,train_size,hidden_size,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,2000,128,0.0001,6,10588380797680219,26825084.802200697,1.1920930376163597e-7,0.0009693651809357107
30,3,1500,64,0.00001,5,10736630360649535,32180608.163772564,1.1920930376163597e-7,0.008546141907572746
30,3,1000,64,0.1,7,10770326066361124,59254224.93634594,1.1920930376163597e-7,0.0000621628641965799
30,3,250,16,0.00001,8,10932237099969777,63808212.393468335,1.1920930376163597e-7,0.9611834287643433
30,3,1000,128,0.001,8,10959745336628324,46352306.47437447,1.1920930376163597e-7,0.4840615391731262
30,3,2000,64,0.01,1,1097152283310372,2285838.477506819,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,64,0.1,4,10999505064222315,42408518.94451059,1.1920930376163597e-7,0.00006073694021324627
30,3,1500,64,1,5,11023125859894922,21790193.402406525,1.1920930376163597e-7,0.000010005527656176127
30,3,1000,8,1,2,11105671412346274,9608.481276454773,1.1920930376163597e-7,0.000019571398297557607
30,3,250,128,0.01,0,11306793046848784,65008320.25040433,1.1920930376163597e-7,2.889137029647827
30,3,500,32,0.0001,1,11399348195702252,64062516.363152936,1.1920930376163597e-7,0.8740540742874146
30,3,2000,16,1,1,11425293991159857,9889.012493012846,1.1920930376163597e-7,0.000005047214926889865
30,3,1500,16,0.001,1,11480802966684611,145615.27951630598,1.1920930376163597e-7,0.000021159110474400222
30,3,250,16,0.01,8,11547786681828931,64175840.34964366,1.1920930376163597e-7,0.8003320693969727
30,3,1000,16,0.0001,8,1162861070034471,62643196.53234904,1.1920930376163597e-7,0.7538967132568359
30,3,250,64,0.001,1,11665089603832957,60.87839152124312,0.12894487380981445,2.5956430435180664
30,3,500,16,0.001,1,11702331779509922,62571620.54088157,1.1920930376163597e-7,0.7694635987281799
30,3,1000,64,0.0001,8,11831587667044785,57426537.15422331,1.1920930376163597e-7,0.8166775107383728
30,3,250,32,1,2,11948173640347037,50182902.017731905,1.1920930376163597e-7,0.7485542893409729
30,3,500,32,1,1,11979586290587674,43037906.8694817,1.1920930376163597e-7,0.7430506348609924
30,3,2000,32,0.00001,2,11999127920437025,614443.4892526282,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,8,0.01,0,12070868904641063,60795756.75258103,1.1920930376163597e-7,0.7600377202033997
30,3,500,64,0.0001,4,12202782351374786,64802124.27498481,1.1920930376163597e-7,0.9337956309318542
30,3,2000,128,0.0001,1,12348114272502397,47665350.31784745,1.1920930376163597e-7,0.027253275737166405
30,3,1500,16,0.01,3,12435843895219767,174157.24486383857,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,32,0.1,6,1260709232537075,61392324.68146459,1.1920930376163597e-7,1.9578336477279663
30,3,1500,64,0.1,3,12639531609251964,57151609.18699727,1.1920930376163597e-7,2.6931436991617375e-7
30,3,2000,64,0.00001,2,12644506715420056,45462094.580496006,1.1920930376163597e-7,0.044453706592321396
30,3,1500,32,0.001,4,1275456385290148,1005926.0050842756,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,16,1,4,12817938559507147,876944.1454601114,1.1920930376163597e-7,0.002457202645018697
30,3,1000,8,0.1,3,12878070693123345,201654.4915859113,1.1920930376163597e-7,0.00001100378722185269
30,3,250,64,0.1,1,1289246531330116,62260840.57792943,1.1920930376163597e-7,2.301914930343628
30,3,1500,16,1,3,12928630671463204,7660.316469631616,1.1920930376163597e-7,0.000010408783055027016
30,3,250,64,1,7,12989597331355796,102.06472785019247,0.06376966089010239,1.4877785444259644
30,3,2000,64,0.01,6,130076146147572,14550446.265451638,1.1920930376163597e-7,1.1920931797249068e-7
30,3,2000,16,1,0,13120723357063035,10009.436306782209,1.1920930376163597e-7,0.00000573786655877484
30,3,500,16,0.001,8,13218135923939633,42531770.9298178,1.1920930376163597e-7,0.7675765752792358
30,3,1500,8,0.0001,1,1325972002459025,185372.52477687303,1.1920930376163597e-7,1.1920931797249068e-7
30,3,2000,8,0.00001,7,13499112441572958,116268.25176474432,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,32,0.0001,3,13552044676476394,64508772.30995508,1.1920930376163597e-7,0.8385158777236938
30,3,2000,32,0.0001,6,13552740142445663,713514.477442446,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1500,8,0.001,3,13573328041373844,139248.686525263,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1500,8,0.01,4,13622041220567038,119973.03257310002,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,64,0.1,2,1364488827053868,58187285.06353509,1.1920930376163597e-7,0.00008349472773261368
30,3,250,128,1,5,1366107589044787,54531409.499349415,1.1920930376163597e-7,1.1094896793365479
30,3,2000,8,1,1,13669251727436138,4202.731432589122,1.1920930376163597e-7,4.6258830366241455e-7
30,3,500,32,0.01,8,13736484941248783,61305036.69187013,1.1920930376163597e-7,1.1803573369979858
30,3,1000,64,0.01,8,1376285000122165,443.0884441026107,0.01594250462949276,0.8080158829689026
30,3,1500,32,1,1,1391434810280363,185195.2122980103,1.1920930376163597e-7,0.000011999383787042461
30,3,250,128,0.00001,1,1397776587618641,41.612946589776136,0.19201157987117767,2.0568156242370605
30,3,500,64,0.1,8,14151028245941932,31233600.2766647,1.1920930376163597e-7,0.6549096703529358
30,3,250,16,0.00001,3,1421846319579566,65236648.22318551,1.1920930376163597e-7,0.8997868299484253
30,3,2000,128,0.0001,3,14227306968553521,31377652.259492368,1.1920930376163597e-7,0.007202638778835535
30,3,2000,8,0.1,6,1430824760043229,6761.422533819374,1.1920930376163597e-7,1.1920931797249068e-7
30,3,250,128,0.1,3,14309371647204117,113.90870220002607,0.064472496509552,2.301712989807129
30,3,1500,8,0.00001,3,1437831199387375,91547.24689921773,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1500,16,0.01,4,14424866263290625,146677.24813970947,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,32,0.001,7,1454244771657499,61072012.71964875,1.1920930376163597e-7,0.7637777924537659
30,3,1000,128,0.1,5,14734469779602732,57891981.09873806,1.1920930376163597e-7,0.00006803440919611603
30,3,1500,128,1,5,1473606827113928,578377.9747593139,1.1920930376163597e-7,0.000019729624909814447
30,3,2000,64,0.0001,0,14840652601736515,6201774.260690897,1.1920930376163597e-7,1.1920931797249068e-7
30,3,2000,16,0.01,1,1502186789777863,282778.4037901874,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,64,1,1,1503594196050131,31555162.238331527,1.1920930376163597e-7,0.7697232961654663
30,3,500,32,0.00001,4,15068184491008396,64506936.31017395,1.1920930376163597e-7,0.7949403524398804
30,3,2000,16,0.00001,5,15300201827791315,176951.27578076412,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,8,0.00001,6,1578820795936785,6.626938076509843,0.4500119984149933,0.7369533777236938
30,3,1500,8,0.01,1,15803931876721278,58577.85239197583,1.1920930376163597e-7,1.1920931797249068e-7
30,3,500,128,0.001,6,1600640157304517,48.49528107724091,0.16047824919223785,2.257852792739868
30,3,1000,128,0.1,3,16186352717322072,60984336.73010054,1.1920930376163597e-7,0.00005674410203937441
30,3,1500,64,0.00001,0,162185963785217,57389701.158614494,1.1920930376163597e-7,0.7595619559288025
30,3,2000,128,0.001,0,16229740266257942,39038567.34624012,1.1920930376163597e-7,1.1920931797249068e-7
30,3,2000,16,1,4,16381186338353038,9143.367074088206,1.1920930376163597e-7,0.000004004390120826429
30,3,1000,64,0.00001,7,16442191726298228,57970861.08933484,1.1920930376163597e-7,0.7768609523773193
30,3,1000,16,0.01,3,16603882801494818,45277770.60246913,1.1920930376163597e-7,0.7739266157150269
30,3,1500,16,0.001,3,1661603625083098,133467.2965894584,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1500,8,0.001,1,16763919535584904,176286.16648505133,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,8,0.00001,4,16775243000696427,8.336806915689996,0.4167940318584442,0.7123305797576904
30,3,250,8,0.00001,2,16931046207933054,62793772.51439899,1.1920930376163597e-7,0.7474384903907776
30,3,1000,8,0.1,6,1694202926898123,5.35844740722304,0.4800935685634613,0.7243829369544983
30,3,2000,16,0.01,4,1702549336723732,180637.97846627492,1.1920930376163597e-7,1.1920931797249068e-7
30,3,1000,64,0.1,5,17034835231369627,48885030.17245028,1.1920930376163597e-7,0.00002757021866273135
30,3,500,64,0.0001,7,17206315080305545,64923104.26056287,1.1920930376163597e-7,1.2156530618667603
30,3,1000,32,1,3,17295831933948613,935718.200953698,1.1920930376163597e-7,0.00002485197182977572
