embed_size,hidden_size,learning_rate,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
8,32,0.003,0.03,23,0005298831970086404,1819692400.9373379,0.00005530519922181098,7809.809845216516
8,32,0.003,0.03,30,008136543774825089,5758199756727.604,9.599568251310572e-9,6040.024069954562
8,32,0.003,0.03,28,022999849870594113,900544262.4082562,3.258348035818508e-9,2.9528196774703703e-8
8,32,0.003,0.03,10,03959771319594907,8066121208822.659,5.0384125760044435e-9,54.02900233157364
8,32,0.003,0.03,32,06259658157407799,894927299.3448057,4.1406458261873885e-9,1.1114309803311877e-7
8,32,0.003,0.03,3,08604076499002888,1175613350993.5752,3.28975358064523e-9,0.0000012545219983494087
8,32,0.003,0.03,42,1144132891454247,7079709773130.714,1.0597843935614762e-8,6700.536544131305
8,32,0.003,0.03,4,13895698973912474,168925976569.18066,3.355116406903727e-9,6.164284834585357e-8
8,32,0.003,0.03,50,19252389427649308,64145755288.31818,3.7008522912749762e-9,5.096718134656183e-8
8,32,0.003,0.03,19,19939015133742943,1691984534136.4006,3.696628780845209e-9,3.9750718045514494e-8
8,32,0.003,0.03,63,21022643449538247,7723913031319.321,9.388128274673547e-9,6348.455842598218
8,32,0.003,0.03,52,24277847289067234,20.54320142988127,1402.231374023135,7816.14534305547
8,32,0.003,0.03,40,25987731603495434,2682874599.0212703,3.91464505254024e-9,1.3544322451350573e-7
8,32,0.003,0.03,41,2629777915235795,4557368736836.817,4.867357628036411e-9,3.598640452822007e-7
8,32,0.003,0.03,7,2676541544044554,8027151061909.985,1.106375391286051e-8,6893.309980146496
8,32,0.003,0.03,48,2720046255443247,67111.62016621254,3.3618681172101295e-9,4.071439584916504e-8
8,32,0.003,0.03,2,2732965459461747,9819747412673.49,3.123522995792984e-9,5.061950035959771e-8
8,32,0.003,0.03,44,2737913037842079,6629602226556.825,3.6063960706510295e-9,9.317486469938191e-7
8,32,0.003,0.03,49,3171002831430776,910033621816.2697,3.021494388012722e-9,1.7156733107500953e-7
8,32,0.003,0.03,14,3488225544998007,74657588.64329992,3.5157776689780467e-9,2.6906173732533272e-8
8,32,0.003,0.03,33,3837542243138222,2755459038.158051,4.9325465933708e-9,5.112990163565546e-8
8,32,0.003,0.03,26,3865581689678004,40429699835.33437,3.3355900263971023e-9,1.5909620693901018e-7
8,32,0.003,0.03,45,40038404762520186,8938249082206.95,3.5721834379275358e-9,6.595026921037646e-8
8,32,0.003,0.03,18,4004289563507849,22887676876.163097,3.2542410988057113e-9,2.1019416982172772e-7
8,32,0.003,0.03,51,4108749398759317,5032588430831.076,5.061527641430104e-9,2.5628204773977293e-7
8,32,0.003,0.03,13,4312210943132567,9567253.017059853,3.4422322769790647e-9,5.2698425612633036e-8
8,32,0.003,0.03,37,43291969218881665,8345512865447.943,4.031297962091312e-9,0.001361824567433929
8,32,0.003,0.03,0,4347770575902997,307505275524.44617,4.317877166556947e-7,7674.028115069091
8,32,0.003,0.03,16,43833804629930573,28.697127885637624,1438.3578845641873,7813.667161869422
8,32,0.003,0.03,25,44461651092478505,8292956770495.39,1.3679221755077178e-8,6166.8927574812515
8,32,0.003,0.03,31,45910962622114593,6419369367363.063,9.118103161295748e-9,6310.502366131519
8,32,0.003,0.03,9,4965508670754145,4457347207902.402,7.112507027721327e-9,0.00002864887049803092
8,32,0.003,0.03,27,5151455602443403,237505840648.69827,4.991357993564541e-9,1.5672778900175773e-7
8,32,0.003,0.03,22,518005163568363,16085082503.811987,2.83838863522783e-9,1.376388663819031e-7
8,32,0.003,0.03,6,52034850301335,3429215885716.6675,6.773725358337504e-9,4828.7821037633685
8,32,0.003,0.03,59,5453428576719809,396432654.7267627,3.070511400680278e-9,3.46450323958917e-8
8,32,0.003,0.03,34,5718691000846863,27871979.383876286,4.824965316146528e-9,3.492940936323174e-8
8,32,0.003,0.03,24,5806720949638716,3962597021487.1523,7.919521260917184e-9,6198.77514564025
8,32,0.003,0.03,61,5968152130014259,1612785078435.745,4.2025718460616315e-9,2.385650122734529e-7
8,32,0.003,0.03,35,6346622485484245,8539257728525.387,1.0601818756097041e-8,7067.7996134818895
8,32,0.003,0.03,20,6368157173669388,627170304180.535,5.031657757089395e-9,1.8138176916255532e-7
8,32,0.003,0.03,15,6652614178125046,28.442281100205758,1270.0984508119318,7809.769138399644
8,32,0.003,0.03,62,7222872643364238,7543735523793.867,7.597655171589728e-9,6617.1855374962
8,32,0.003,0.03,58,7227036562650142,8634870597601.508,2.852224234563558e-9,9.12399062314317e-8
8,32,0.003,0.03,56,7315020025396383,32.205302009219736,1411.6166168693146,7812.965745603438
8,32,0.003,0.03,5,732300653854544,6601371283.544506,3.60853213975323e-9,4.038740697014275e-8
8,32,0.003,0.03,29,7565846296418166,18.466604950906984,1367.8568268931103,7816.144749111903
8,32,0.003,0.03,55,7594416792159802,224055979679.337,3.2560678597604116e-9,3.9877783515484256e-8
8,32,0.003,0.03,54,7799259546166948,6489068487988.165,3.22622506486028e-9,0.0000011468302226473779
8,32,0.003,0.03,43,7854722845371233,511924172072.25226,4.016168952943549e-9,8.754013109185343e-8
8,32,0.003,0.03,1,8016528041318464,18.313104501991937,1276.468238373891,7812.711987991876
8,32,0.003,0.03,47,8374791039415207,7097810913076.183,4.077836956977545e-9,1.0501721475566397e-7
8,32,0.003,0.03,8,8901874843357314,1773213494648.8801,3.0793947391927884e-9,9.629171470171013e-8
8,32,0.003,0.03,11,9033065160932966,6297172230679.822,2.2151376288713665e-9,8.694484733279525e-8
8,32,0.003,0.03,46,9076489898814062,2838365418170.445,7.0993630973357e-9,0.0000028994421354575246
8,32,0.003,0.03,60,9081087042596742,128228253.49833043,3.188930230976657e-9,3.3293052527191595e-8
8,32,0.003,0.03,21,9118832425838052,73611516233.97856,3.6004836889581677e-9,4.857596146665748e-8
8,32,0.003,0.03,38,9203724844348883,896219390192.329,2.773779428353128e-9,9.696617170861345e-8
8,32,0.003,0.03,57,9300854800853818,1987510835579.7637,7.312752403559689e-9,7.160055790630519
8,32,0.003,0.03,17,961158527322659,9677556354753.129,1.007853200883361e-8,6645.938096874361
