embed_size,hidden_size,learning_rate,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
32,512,0.0001,0.1,5,006867148528604594,5204406423666.501,1.3681150434644439e-8,7824.407339133662
8,128,0.0003,0.03,1,006976148633737633,27400729417517.453,9.925273713930144e-9,7812.41192746467
16,512,0.001,0.03,8,007226608778750143,23925811002532.64,3.8113070477311756e-9,7820.503268417893
64,512,0.003,0.1,8,007639741099563113,3319296964038.367,8.437758713907272e-9,3.547940741160524e-8
8,1024,0.01,3,3,007648131399911273,3.5193536439484507,11.008571075299361,31.449555802235068
16,512,0.01,3,8,007680571457651664,38.88511874157476,0.000153598099304769,0.0007752977111369988
128,64,0.01,0.3,1,007709361815543714,946273958899.6935,2.9100313491625857e-8,3.03056751395218e-7
64,512,0.001,0.1,1,00781344042512977,3556193824808.575,9.13246944728165e-9,1.672389917482474e-7
32,256,0.001,1,4,00781678373863659,128300475575.26851,1.572934984324261e-7,0.000004797720429425142
16,1024,0.01,0.03,0,007891552936188817,19269382556522.28,2.4519373198433814e-9,1.4731855069092712e-8
16,1024,0.003,1,4,008196481069708494,871832155.9241558,1.8180159153748883e-7,9.62721512830087e-7
8,512,0.001,1,6,00873187108427953,11441267362.11553,0.0000022357724003278124,7752.29804691129
32,64,0.01,0.1,4,00887426429097904,4748797855674.264,9.353947172320318e-9,1.1820639288345972e-7
16,64,0.0003,3,5,00950596602573528,3.8951526468422086,783.8842011634987,2108.736309553081
128,512,0.0001,0.1,3,009861047631765207,3272059039746.1196,1.7389283124372308e-8,7877.858101273516
8,256,0.0003,1,6,009886150598907073,371110.22008200735,0.1407551271342094,7811.958332440063
128,1024,0.0001,1,0,009930058896467364,186068050191.59375,1.1096704176966972e-7,8.448219385826462e-7
64,512,0.001,0.1,0,010097223782896791,3579664555263.3325,8.787824246018588e-9,5.440080208405994e-8
16,128,0.01,1,8,010115109224228203,136783.78191028332,2.417723676428638e-7,0.0000017806595419370866
32,64,0.01,0.3,8,011237016336633432,1018883221665.7455,3.168201101395163e-8,2.442822814819081e-7
128,128,0.01,0.1,7,01182211110068021,3281381752143.387,8.64175797582979e-9,5.535313185436505e-8
32,1024,0.0001,0.3,0,011961091712646699,1493740404741.4648,4.1466202470611724e-8,7823.067466339708
16,512,0.0003,1,5,012358615728027544,90109370419.73427,4.786933261581638e-7,7817.98704082505
32,256,0.001,0.03,8,013098534848318466,16742734487577.525,4.52774373548103e-9,7826.046383615634
128,512,0.0003,3,1,013532263550142365,20100235915.625946,5.979452577468915e-7,0.00001956039358065618
64,64,0.003,0.1,8,013841228734935873,4871158216239.054,9.121192467926581e-9,5.629848675931529e-8
32,512,0.0003,0.3,8,013933385412685073,1263297243364.4028,3.258521719047621e-8,7.47110303891994e-7
16,512,0.0003,0.3,8,014906109313297389,1490286986180.7302,5.839964245295085e-8,7822.739209972164
16,64,0.001,3,8,015270353699806893,3.880083262605059,783.7914598559097,2079.900919334541
8,128,0.001,0.03,4,01559043657165271,9579005999277.816,3.4761316047767775e-9,1.3679318122618872e-8
32,256,0.0003,1,1,015932753563376645,138303169167.26764,1.5549708918912097e-7,0.000003007989378310425
128,1024,0.0003,0.03,7,016057979710013548,10925215502930.377,4.6478094706127835e-9,7872.240163926675
32,1024,0.01,1,5,016116765317880644,4108113.93488427,1.3928235918917178e-7,0.0000014322973901326795
64,1024,0.0001,0.1,8,016181221763526543,4347357349359.0933,1.342818123351053e-8,7837.264787544488
128,512,0.01,0.3,5,016402374712889856,390978806365.3679,2.742621996128147e-8,1.7469916179134103e-7
8,512,0.01,0.3,5,016646091714401456,35761.21416757896,4.558239363608782e-8,1.605215507109625e-7
16,256,0.003,0.03,2,01692422164517604,20560120127381.82,2.7098792099118368e-9,1.860391529697541e-8
