embed_size,hidden_size,learning_rate,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
32,64,0.01,0.1,0,2023-05-10-17h55m43s8967597295063134,5534.302236450905,1.6985888917584202e-8,4.685572840817249e-8
16,512,0.0003,0.3,0,2023-05-10-17h55m44s5394785649462073,777757752997.7129,6.325333279324165e-8,1.6496690568976955e-7
16,64,0.003,0.3,0,2023-05-10-17h55m45s20904473039779226,11.578267663297252,1.0522591398038499e-7,3.3442349954897596e-7
32,256,0.0003,0.03,0,2023-05-10-17h55m45s39531136502394815,36318855768816.695,1.2389297587820085e-8,42270.41650507979
8,64,0.003,0.03,0,2023-05-10-17h55m45s634403923377283,882.5103456925241,7.74144326418406e-9,2.197242121578755e-8
16,256,0.001,1,1,2023-05-10-17h55m45s6868053088121702,27.42946966688594,9.863403761271844e-7,0.000002836652422890553
16,256,0.0001,3,0,2023-05-10-17h55m46s26193389906275333,2.848732862561794,2312.454561451141,5826.563976700131
32,256,0.001,0.1,0,2023-05-10-17h55m47s10755276113102097,10300816937401.652,1.4452057106566174e-8,3.903170564524855e-8
8,64,0.003,0.1,0,2023-05-10-17h55m47s18064925647518548,9.020770014315541,2.7418740611126753e-8,7.728681183878647e-8
8,128,0.0003,0.3,0,2023-05-10-17h55m47s5843854372181404,206.80522539257365,9.606266981570823e-8,2.741118252327475e-7
32,64,0.003,0.1,0,2023-05-10-17h55m48s16206199206304306,216906418969.07898,2.050886149788678e-8,6.262659235609988e-8
32,64,0.0003,0.3,0,2023-05-10-17h55m48s7943298174405672,1403572744688.3628,2.929033959655799e-7,31687.47184453089
64,128,0.003,0.3,1,2023-05-10-17h55m49s07232301393045948,1935110355421.3079,4.83622826227398e-8,1.3224970896068344e-7
16,128,0.003,0.1,0,2023-05-10-17h55m50s10875141812338385,1550524.1282825575,1.9178709509354256e-8,5.033421279761444e-8
64,512,0.01,0.03,0,2023-05-10-17h55m50s48813948726620116,26449931111908.12,4.171987422194408e-9,1.2649066016824323e-8
16,64,0.0003,0.3,0,2023-05-10-17h55m50s6161403008920128,10403.177939734707,6.829706422478969e-8,1.9459433286704004e-7
128,256,0.003,1,0,2023-05-10-17h55m51s44364904897779356,103598934.92632937,1.881138498257252e-7,5.757569085741683e-7
16,64,0.003,0.03,0,2023-05-10-17h55m52s08601736966662177,162.22927198544082,7.249900235693328e-9,2.0494916208564697e-8
32,256,0.003,3,1,2023-05-10-17h55m52s27789867802640533,6.12889381368461,0.000032844021286256347,0.00010789359551651565
16,128,0.01,0.03,0,2023-05-10-17h55m52s6959123839141881,19592.340046717734,4.766091965531949e-9,1.2699912454995826e-8
128,64,0.01,0.3,1,2023-05-10-17h55m52s8628205831001889,2162351368901.7844,5.0907562165255805e-8,1.601032495440715e-7
32,64,0.001,0.3,1,2023-05-10-17h55m53s044991424459064566,679073039.9060031,5.944026448772271e-8,1.5761915283915003e-7
16,64,0.003,1,0,2023-05-10-17h55m53s18137025778961513,5.52561270932209,7.333156820806576e-7,0.0000025047098330735626
